player_id;mean_morality;var_morality;std_morality;final_morality;npc_interactions;number_puzzles_started;number_puzzles_succeeded;number_puzzles_failed;puzzle_success_rate;average_time_spent_puzzles;time_complete_game;ending_achieved;average_engagement;average_agency
1;11,384615384615385;86,08974359;9,278455883914285;28;3;1;0;1;0;66,90100000000004;507,08000000000004;medium_ending;2,4;4,2
2;-19,375;72,91666666666667;8,539125638299666;-30;8;1;0;1;0;38,79899999999998;519,005;medium_ending;3,8;3,8
3;-7,476190476;197,66190476190474;14,059228455427586;-1;7;3;0;3;0;42,464000000000006;498,918;medium_ending;3;3,6
4;9,25;20,214285714285715;4,496029994816062;4;4;2;0;2;0;32,91050000000001;304,244;medium_ending;3;3,8
5;5,125;208,80978260869566;14,450251991183256;32;6;4;1;3;0,25;24,45625000000002;518,006;medium_ending;3,2;3,6
6;0;0;0;0;0;0;0;0;0;0;259,445;medium_ending;3;3,4
7;9,7;85,78888888888889;9,262229153335005;-1;4;2;0;2;0;31,952;217,427;medium_ending;3,8;3,8
8;17,24;879,5233333333335;29,656758645093593;64;7;3;2;1;0,6666666666666666;31,14833333333333;509,34;medium_ending;3;4,8
9;56,97222222222222;1447,9706349206351;38,052209330348155;129;8;4;2;2;0,5;46,32449999999999;655,1899999999999;grandma_ending;3;3,6
10;-7,916666667;220,2651515151515;14,841332538392619;-25;5;2;0;2;0;106,94650000000003;381,18800000000005;medium_ending;3,2;4
11;-1,363636364;190,45454545454547;13,800526999160049;-20;5;1;1;0;1;106,80499999999999;390,247;medium_ending;2,6;5
12;47,41379310344828;670,0369458128079;25,88507187188801;85;9;4;1;3;0,25;47,76774999999997;725,6859999999999;good_ending;3,4;3,8
13;51,29032258064516;1223,2129032258065;34,97446072816287;92;6;4;2;2;0,5;43,81599999999999;455,301;grandma_ending;3,4;4,2
14;-2,083333333;109,81884057971016;10,479448486428575;15;6;3;1;2;0,3333333333333333;67,77600000000001;466,839;medium_ending;3,4;4
15;15,137931034482758;348,19458128078816;18,659972703109407;52;8;2;2;0;1;84,786;616,6859999999999;medium_ending;2,4;2,8
16;-2;23,333333333333332;4,830458915;-5;6;1;0;1;0;26,053999999999974;298,269;medium_ending;2,8;3
17;22,88888888888889;229,28104575163403;15,142029116060833;39;8;2;2;0;1;33,348;351,656;medium_ending;2,8;4,4
18;40,205128205128204;405,43049932523616;20,135304798419025;64;7;4;2;2;0,5;34,23600000000001;546,995;medium_ending;3,4;4,2
19;31,736842105263158;209,42690058479536;14,471589428421309;59;5;3;2;1;0,6666666666666666;68,75966666666666;499,56800000000004;medium_ending;4,2;4,4
20;11,75;175,98684210526315;13,26600324533592;20;5;2;1;1;0,5;58,32950000000001;390,057;medium_ending;2,6;3,6
21;-1,230769231;618,5046153846154;24,869753022187723;49;5;3;2;1;0,6666666666666666;46,061333333333344;589,0400000000001;medium_ending;3,6;4
22;13,75;36,93181818181818;6,077155435054972;15;8;1;0;1;0;84,52000000000004;585,9830000000001;medium_ending;3,4;4,2
23;11,428571428571429;22,619047619047617;4,7559486560567095;10;2;2;0;2;0;60,748000000000005;353,94;medium_ending;3;3
24;9,041666666666666;107,43297101449276;10,364987747918121;34;7;3;2;1;0,6666666666666666;44,47833333333333;446,257;medium_ending;3,8;4,2
25;41,08;459,32666666666665;21,431907676795053;69;5;4;1;6;0,25;57,87575;557,568;medium_ending;2,8;3,8
