participant_nr,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q13
1,5,1,3,5,5,2,4,2,1,3,3,1,3
2,2,2,1,3,5,4,5,2,2,2,2,4,1
3,2,3,4,2,3,2,1,4,1,4,2,2,4
4,3,3,2,2,1,2,4,3,3,1,3,3,5
5,4,5,3,1,1,3,2,5,3,1,1,5,4
6,3,3,4,5,5,1,4,5,2,3,1,4,1
7,5,5,2,3,4,1,3,5,3,1,3,5,3
8,4,3,4,3,5,2,2,4,4,2,5,5,3
9,4,5,1,3,3,2,4,5,5,3,4,4,4
10,2,5,4,2,1,3,5,5,3,1,2,3,2
11,2,2,1,1,2,4,5,1,4,4,5,2,4
12,4,4,2,2,1,1,4,2,2,5,4,1,5
13,2,1,4,2,4,5,5,5,3,4,5,5,4
14,5,4,2,4,4,3,2,3,5,4,2,3,4
15,1,3,2,3,3,3,5,1,2,2,2,4,2
16,2,1,4,4,3,5,4,4,1,2,4,4,5
17,1,5,4,4,1,3,3,4,4,5,5,5,2
18,4,2,3,4,4,1,4,3,4,2,4,2,5
19,5,1,4,5,5,1,1,4,2,4,2,1,3
20,4,3,2,4,3,3,4,3,4,3,1,4,1
